Date,Open,High,Low,Close
25/05/21,51.20000076,51.34999847,49.59999847,49.90000153
26/05/21,50.04999924,50.70000076,49.5,49.59999847
27/05/21,49.95000076,49.95000076,48.65000153,49.65000153
28/05/21,49.65000153,49.90000153,48.25,48.54999924
31/05/21,48.90000153,48.90000153,47.40000153,47.5
01/06/21,47.84999847,48.40000153,45.59999847,46.40000153
02/06/21,46.59999847,48.54999924,46.15000153,48.09999847
03/06/21,48.09999847,49.34999847,48.09999847,48.90000153
04/06/21,48.95000076,56.45000076,48.20000076,53.95000076
07/06/21,56.65000153,58.45000076,55.20000076,57.34999847
08/06/21,57.75,59,54.65000153,57.15000153
09/06/21,57.95000076,58.70000076,53.04999924,54.54999924
10/06/21,55.25,58.20000076,55,57.65000153
11/06/21,60,62.84999847,56.75,58.04999924
14/06/21,58.29999924,58.29999924,54.29999924,56.20000076
15/06/21,56.59999847,57.34999847,55.54999924,55.79999924
17/06/21,54.29999924,56.90000153,53.75,55.40000153
